,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81218,47.0,3281.0,4.0,73650.0,4287,1399.0,56.0,2.0
1,Italy,69176,,6820.0,,8326.0,54030,3393.0,1144.0,113.0
2,USA,54823,,778.0,,378.0,53667,1175.0,166.0,2.0
3,Spain,42058,,2991.0,,3794.0,35273,2636.0,900.0,64.0
4,Germany,32991,,159.0,,3290.0,29542,23.0,394.0,2.0
5,Iran,24811,,1934.0,,8913.0,13964,,295.0,23.0
6,France,22304,,1100.0,,3281.0,17923,2516.0,342.0,17.0
7,Switzerland,9877,,122.0,,131.0,9624,141.0,1141.0,14.0
8,S. Korea,9137,100.0,126.0,6.0,3730.0,5281,59.0,178.0,2.0
9,UK,8077,,422.0,,135.0,7520,20.0,119.0,6.0
10,Netherlands,5560,,276.0,,2.0,5282,435.0,324.0,16.0
11,Austria,5283,,28.0,,9.0,5246,22.0,587.0,3.0
12,Belgium,4269,,122.0,,461.0,3686,381.0,368.0,11.0
13,Norway,2866,,12.0,,6.0,2848,44.0,529.0,2.0
14,Canada,2792,,26.0,,112.0,2654,1.0,74.0,0.7
15,Portugal,2362,,33.0,,22.0,2307,48.0,232.0,3.0
16,Australia,2317,,8.0,,118.0,2191,11.0,91.0,0.3
17,Sweden,2299,,40.0,,16.0,2243,143.0,228.0,4.0
18,Brazil,2247,,46.0,,2.0,2199,18.0,11.0,0.2
19,Israel,1930,,3.0,,53.0,1874,34.0,223.0,0.3
20,Turkey,1872,,44.0,,,1828,,22.0,0.5
21,Malaysia,1624,,16.0,,183.0,1425,64.0,50.0,0.5
22,Denmark,1591,,32.0,,1.0,1558,69.0,275.0,6.0
23,Czechia,1394,,3.0,,10.0,1381,19.0,130.0,0.3
24,Ireland,1329,,7.0,,5.0,1317,29.0,269.0,1.0
25,Japan,1193,,43.0,,285.0,865,54.0,9.0,0.3
26,Luxembourg,1099,,8.0,,6.0,1085,3.0,1756.0,13.0
27,Ecuador,1082,,27.0,,3.0,1052,2.0,61.0,2.0
28,Pakistan,972,,7.0,,18.0,947,5.0,4.0,0.03
